region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
1,161,2011161007,4/24/2011,15:56,4/24/2011,15:56,4/24/2011,16:10,4/25/2011,8:00,0.1,7,46.97540218,-95.40241283
1,111,2011111011,4/24/2011,16:18,4/24/2011,16:23,4/24/2011,18:00,5/2/2011,8:00,63.5,7,47.35618373,-95.53343404
1,161,2011161008,4/24/2011,17:13,4/24/2011,17:13,4/24/2011,18:00,4/25/2011,8:00,0.5,7,47.00096695,-95.36275399
3,312,2011312015,4/24/2011,17:19,4/24/2011,17:45,4/24/2011,17:55,4/26/2011,8:00,0.7,5,46.05913119,-93.07326458
2,245,2011241002,4/24/2011,19:45,4/24/2011,20:00,4/24/2011,20:35,4/24/2011,20:35,0.5,7,48.41065149,-93.15053734
1,121,2011121007,4/24/2011,20:46,4/24/2011,21:00,4/24/2011,22:19,5/2/2011,8:00,80,7,48.52015619,-96.57601229
1,111,2011111012,4/24/2011,23:53,4/24/2011,23:53,4/24/2011,23:53,4/25/2011,8:00,0.25,7,47.26410188,-95.78215531
3,351,2011351015,4/25/2011,5:35,4/25/2011,15:50,4/25/2011,15:57,4/29/2011,8:00,0.2,4,45.43116193,-93.94050388
1,161,2011163001,4/25/2011,10:57,4/25/2011,11:31,4/25/2011,11:50,4/28/2011,8:00,1,7,47.09439876,-95.82965927
2,251,2011251007,4/25/2011,10:58,4/25/2011,11:32,4/25/2011,11:42,4/25/2011,12:29,2.5,6,46.78768835,-92.30440565
2,244,2011244014,4/25/2011,11:51,4/25/2011,12:10,4/25/2011,12:10,4/25/2011,12:15,0.1,2,45.89553237,-92.9683415
2,244,2011244015,4/25/2011,12:41,4/25/2011,13:08,4/25/2011,13:08,4/25/2011,13:08,0.2,2,46.20377391,-93.03009816
1,131,2011131001,4/25/2011,13:10,4/25/2011,13:30,4/25/2011,14:32,4/28/2011,17:00,0.01,5,48.73089598,-94.67138072
3,312,2011312016,4/25/2011,13:18,4/25/2011,13:20,4/25/2011,13:30,4/28/2011,8:00,0.1,2,45.58302511,-93.65809223
