FIREUNITID,ORGNAME,FIRENAME,FIRETYPE,FIRESUBTYPE,WXSTATIONID,TREATMENTTYPE1,DISCOVERYDATETIME,INITIATIONDATE,STARTDATE,LATITUDE,LONGITUDE,ASPECT,LAYOFLAND,SLOPE,TOTALPRESCRIBEDACRES,TOTALACRES
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,GROVE PARK 17,Wildfire,Fires Suppressed That Threaten FWS Lands,Detroit Lakes,,10/7/2011,,10/7/2011,47.719,-96.184,Flat,Flat,0-25,,2
MNGLR,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,GODFREY 14,Wildfire,Fires Suppressed That Threaten FWS Lands,Detroit Lakes,,5/6/2011,,5/6/2011,47.3691,-96.2363,Flat,Flat,0-25,,140
MNAGR,AGASSIZ NATIONAL WILDLIFE REFUGE,NEAR MISS,Wildfire,Fires Suppressed That Threaten FWS Lands,,,10/7/2011,,10/7/2011,48.28305556,-95.86638889,Flat,Flat,0-25,,1
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,RICE LAKE TWO,Wildfire,Fires Suppressed That Threaten FWS Lands,,,11/16/2011,,11/16/2011,45.56027778,-93.63416667,Flat,Flat,0-25,,2
MNMVR,MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE,EAGAN ASSIST,Wildfire,Fires Suppressed That Threaten FWS Lands,,,4/7/2011,,4/7/2011,44.8225,-93.21944444,Flat,Flat,0-25,,2
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,ISLAND LAKE,Wildfire,Fires Suppressed That Threaten FWS Lands,,,10/5/2011,,10/5/2011,47.46138889,-95.66194444,Flat,Flat,0-25,,2
MNMVR,MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE,NINE MILE CREEK,Wildfire,Fires Suppressed That Threaten FWS Lands,,,11/7/2011,,11/7/2011,44.79444444,-93.31083333,Flat,Flat,0-25,,3
MNDLR,DETROIT LAKES WETLAND MANAGEMENT DISTRICT,WAUBUN WMA,Wildfire,Fires Suppressed That Threaten FWS Lands,,,4/26/2011,,4/26/2011,47.158,-95.949,Flat,Flat,0-25,,1000
MNWWR,WINDOM WETLAND MANAGEMENT DISTRICT,DES MOINES RIVER - THREAT - PL ASSIST,Wildfire,Fires Suppressed That Threaten FWS Lands,,,10/6/2011,,10/6/2011,43.91972222,-95.21805556,Flat,Flat,0-25,,8
MNSBR,SHERBURNE NATIONAL WILDLIFE REFUGE,HOBO FIRE,Wildfire,Natural Out,,,5/10/2011,,5/10/2011,45.49805556,-93.66111111,Flat,Flat,0-25,,0.1
